regional key;city;area in km²;population
053820012012;Bornheim;82.69;48203.0
053820020020;Hennef (Sieg);105.89;48188.0
073110000000;Frankenthal (Pfalz);43.88;48140.0
057540028028;Rheda-Wiedenbrück;86.72;48030.0
055580016016;Dülmen;184.83;47989.0
082155003009;Bruchsal;93.04;47784.0
059740040040;Soest;85.81;47776.0
083355005075;Singen (Hohentwiel);61.77;47621.0
031530017017;Goslar;163.88;47419.0
100430114114;Neunkirchen;75.26;47344.0
091740115115;Dachau;34.96;47138.0
081190020020;Fellbach;27.71;47120.0
084175001079;Albstadt;134.40;46950.0
094640000000;Hof;58.02;46778.0
064340008008;Oberursel (Taunus);45.34;46736.0
034590024024;Melle;253.95;46436.0
160670029029;Gotha;69.58;46400.0
057580004004;Bünde;59.30;46365.0
081160077077;Filderstadt;38.55;46243.0
097620000000;Kaufbeuren;40.02;46193.0
082260096096;Weinheim;58.11;45852.0
059780028028;Schwerte;56.23;45821.0
120630080080;Falkensee;43.34;45720.0
084165003036;Rottenburg am Neckar;142.27;45677.0
053620012012;Brühl;36.12;45555.0
053700004004;Erkelenz;117.34;45315.0
064380011011;Rodgau;65.04;45277.0
150910375375;Wittenberg;241.77;45249.0
010560039039;Pinneberg;21.54;44865.0
032410012012;Neustadt am Rübenberge;358.96;44668.0
120600020020;Bernau bei Berlin;104.19;44597.0
032410011011;Lehrte;127.67;44255.0
097640000000;Memmingen;70.11;44192.0
051580004004;Erkrath;26.88;43706.0
051580026026;Monheim am Rhein;23.05;43630.0
081185002079;Bietigheim-Bissingen;31.29;43556.0
100450114114;Homburg;82.61;43382.0
130740087087;Wismar;41.73;43329.0
051620016016;Kaarst;37.39;43295.0
053700016016;Heinsberg;92.21;43163.0
055540012012;Borken;153.24;43035.0
031510009009;Gifhorn;105.39;42726.0
034520001001;Aurich;197.29;42612.0
081275009076;Schwäbisch Hall;104.19;42598.0
093610000000;Amberg;50.14;42553.0
053820060060;Siegburg;23.66;42445.0
093630000000;Weiden i.d.OPf.;70.57;42444.0
059780020020;Kamen;40.95;42319.0
081165001033;Kirchheim unter Teck;40.47;42299.0
051660016016;Nettetal;83.87;41955.0
032410009009;Laatzen;34.16;41838.0
033530005005;Buchholz in der Nordheide;74.76;41737.0
064380002002;Dreieich;53.27;41692.0
081195003067;Schorndorf;56.83;41647.0
145220180180;Freiberg;48.31;41519.0
120600052052;Eberswalde;93.63;41481.0
032410021021;Wunstorf;125.74;41211.0
053700020020;Hückelhoven;61.27;41192.0
081160078078;Leinfelden-Echterdingen;29.89;41185.0
064310002002;Bensheim;57.83;41124.0
093730147147;Neumarkt i.d.OPf.;79.01;41103.0
094630000000;Coburg;48.29;41064.0
100410519519;Völklingen;67.10;40952.0
091790123123;Germering;21.61;40916.0
033590010010;Buxtehude;76.69;40886.0
095650000000;Schwabach;40.80;40835.0
057580024024;Löhne;59.51;40826.0
081165005049;Nürtingen;46.88;40773.0
160620041041;Nordhausen;108.24;40767.0
160630105105;Eisenach;104.17;40747.0
095610000000;Ansbach;99.91;40742.0
053820024024;Königswinter;76.20;40574.0
055540004004;Ahaus;151.24;40176.0
053340036036;Würselen;34.39;40145.0
146285229270;Pirna;53.06;40128.0
057660044044;Lemgo;100.85;39905.0
081160080080;Ostfildern;22.81;39778.0
073170000000;Pirmasens;61.35;39761.0
083170057057;Kehl;75.07;39584.0
051580024024;Mettmann;42.56;39542.0
120610260260;Königs Wusterhausen;96.04;39360.0
146280110110;Freital;40.46;39281.0
064360007007;Hofheim am Taunus;57.43;39259.0
064350019019;Maintal;32.41;38987.0
160700029029;Ilmenau;198.69;38834.0
081195001008;Backnang;39.38;38818.0
064380006006;Langen (Hessen);29.12;38785.0
082150017017;Ettlingen;56.75;38578.0
053820044044;Niederkassel;35.79;38485.0
055580012012;Coesfeld;141.36;38237.0
051700020020;Kamp-Lintfort;63.14;38217.0
055660012012;Greven;140.26;38212.0
055620016016;Haltern am See;159.03;38142.0
053620040040;Wesseling;23.37;38106.0
150840550550;Weißenfels;113.96;37929.0
064380009009;Neu-Isenburg;24.29;37926.0
150850135135;Halberstadt;143.27;37898.0
150900535535;Stendal;269.24;37850.0
055700052052;Warendorf;176.88;37703.0
100440115115;Saarlouis;43.30;37667.0
146250020020;Bautzen / Budyšin;66.67;37566.0
091790121121;Fürstenfeldbruck;32.52;37420.0
034540041041;Papenburg;118.44;37206.0
091770117117;Erding;54.61;37171.0
055700008008;Beckum;111.46;37133.0
083275006050;Tuttlingen;90.45;37109.0
082265008085;Sinsheim;126.99;37036.0
033530040040;Winsen (Luhe);109.77;36961.0
034540035035;Meppen;188.40;36930.0
150820015015;Bitterfeld-Wolfen;87.23;36592.0
034530004004;Cloppenburg;70.86;36565.0
057700032032;Porta Westfalica;105.22;36521.0
160640046046;Mühlhausen/Thüringen;151.03;36353.0
055660008008;Emsdetten;72.06;36159.0
064400003003;Bad Vilbel;25.68;35961.0
065330009009;Limburg a. d. Lahn;45.16;35938.0
081275002014;Crailsheim;109.08;35755.0
051700044044;Voerde (Niederrhein);53.49;35661.0
084175002002;Balingen;90.32;35623.0
064380001001;Dietzenbach;21.68;35561.0
055620008008;Datteln;66.10;35473.0
100450117117;St. Ingbert;49.95;35453.0
057660040040;Lage;76.04;35054.0
092710119119;Deggendorf;77.14;35044.0
073390030030;Ingelheim am Rhein;73.31;35016.0
059620016016;Hemer;67.66;35005.0
051540012012;Geldern;96.97;34962.0
010560050050;Wedel;33.81;34912.0
051540016016;Goch;115.43;34907.0
053580024024;Jülich;90.39;34890.0
055660084084;Steinfurt;111.67;34860.0
160540000000;Suhl;141.62;34685.0
083365004069;Rheinfelden (Baden);62.84;34674.0
051620020020;Korschenbroich;55.24;34600.0
084265003021;Biberach an der Riß;72.15;34576.0
010620001001;Ahrensburg;35.29;34534.0
064310020020;Viernheim;48.41;34426.0
150880220220;Merseburg;53.87;34392.0
053780032032;Wermelskirchen;74.80;34375.0
032410015015;Seelze;54.08;34364.0
081155003021;Herrenberg;65.70;34192.0
051660012012;Kempen;68.80;34105.0
034570013013;Leer (Ostfriesland);70.11;34025.0
081180046046;Kornwestheim;14.65;33980.0
032410002002;Barsinghausen;102.81;33941.0
120735051532;Schwedt/Oder;360.74;33730.0
034600009009;Vechta;87.89;33728.0
010530032032;Geesthacht;33.25;33519.0
073200000000;Zweibrücken;70.64;33323.0
094740126126;Forchheim;44.44;33017.0
146270210210;Radebeul;26.14;32979.0
064400002002;Bad Nauheim;32.54;32894.0
033610001001;Achim;68.06;32870.0
033600025025;Uelzen;136.84;32821.0
010610046046;Itzehoe;28.54;32725.0
032560022022;Nienburg (Weser);64.53;32608.0
064310013013;Lampertheim;72.27;32400.0
083360091091;Weil am Rhein;19.46;32236.0
150850370370;Wernigerode;170.50;32167.0
057740020020;Delbrück;157.28;32166.0
120670144144;Fürstenwalde/Spree;70.67;32002.0
120680320320;Neuruppin;305.19;31962.0
150840355355;Naumburg (Saale);130.25;31940.0
051540008008;Emmerich am Rhein;80.40;31829.0
083350063063;Radolfzell am Bodensee;58.55;31734.0
100420113113;Merzig;108.98;31697.0
064330008008;Mörfelden-Walldorf;44.13;31638.0
055620028028;Oer-Erkenschwick;38.66;31404.0
034590019019;Georgsmarienhütte;55.49;31244.0
051700032032;Rheinberg;75.24;31172.0
033520062062;Geestland;356.56;31093.0
160770001001;Altenburg;45.69;31093.0
032410003003;Burgdorf;112.56;31051.0
033580024024;Walsrode;336.46;31019.0
150890030030;Bernburg (Saale);113.92;30992.0
053820028028;Lohmar;65.62;30992.0
059700024024;Kreuztal;71.07;30905.0
066320002002;Bad Hersfeld;73.87;30846.0
146250240240;Hoyerswerda / Wojerecy;94.99;30759.0
010580135135;Rendsburg;23.75;30633.0
150890305305;Schönebeck (Elbe);86.52;30419.0
064400008008;Friedberg (Hessen);50.18;30409.0
082155002007;Bretten;71.10;30274.0
059780040040;Werne;76.14;30202.0
071340045045;Idar-Oberstein;91.58;30170.0
064390015015;Taunusstein;67.02;30145.0
091850149149;Neuburg a.d.Donau;81.29;30135.0
055700028028;Oelde;102.77;30129.0
051580008008;Haan;24.19;30086.0
057540032032;Rietberg;110.31;30055.0
071370003003;Andernach;53.34;30039.0
059540012012;Gevelsberg;26.34;30006.0
097710130130;Friedberg;81.25;29953.0
093760161161;Schwandorf;123.80;29877.0
081195006085;Winnenden;28.05;29876.0
031550013013;Einbeck;231.92;29751.0
033560007007;Osterholz-Scharmbeck;147.17;29710.0
059580032032;Meschede;218.52;29615.0
059740052052;Werl;76.35;29600.0
082160015015;Gaggenau;65.01;29529.0
120720240240;Ludwigsfelde;109.99;29514.0
083165003011;Emmendingen;33.78;29502.0
059540008008;Ennepetal;57.77;29446.0
146270230230;Riesa;58.91;29373.0
064320008008;Griesheim;21.55;29309.0
091810130130;Landsberg am Lech;57.90;29257.0
051660028028;Tönisvorst;44.34;29251.0
053340008008;Baesweiler;27.84;29206.0
064380008008;Mühlheim am Main;20.67;29194.0
053660028028;Mechernich;136.48;29187.0
055620036036;Waltrop;47.09;29177.0
160730077077;Saalfeld/Saale;145.56;29086.0
130720043043;Güstrow;71.09;28959.0
081185008073;Vaihingen an der Enz;73.40;28798.0
064380012012;Rödermark;29.99;28753.0
146270140140;Meißen;30.92;28753.0
053780028028;Rösrath;38.80;28709.0
032410017017;Springe;160.13;28669.0
160700004004;Arnstadt;104.99;28615.0
082165002007;Bühl;73.18;28608.0
053700012012;Geilenkirchen;83.16;28494.0
091840149149;Unterschleißheim;14.93;28482.0
064360005005;Hattersheim am Main;15.80;28467.0
084365007081;Wangen im Allgäu;101.35;28412.0
150840590590;Zeitz;87.74;28328.0
051540032032;Kevelaer;100.64;28296.0
010620060060;Reinbek;31.27;28274.0
034590014014;Bramsche;183.39;28220.0
